University_name,UK_rank,Region,State,Gender,Gender_count,Category,Value,Student_enrollment,students_percent,State_percent,,,
Birmingham City University,58,West Midlands,England,Female,62,Local,16494,21703,76.0,0.27,,,
Birmingham City University,58,West Midlands,England,Male,38,International,5209,21703,24.0,0.27,,,
Edinburgh Napier University,59,Scotland,Scotland,Female,54,Local,7254,10812,67.1,0.33,,,
Edinburgh Napier University,59,Scotland,Scotland,Male,46,International,3558,10812,32.9,0.33,,,
Heriot-Watt University,60,Scotland,Scotland,Female,40,Local,6047,9493,63.7,0.33,,,
Heriot-Watt University,60,Scotland,Scotland,Male,60,International,3446,9493,36.3,0.33,,,
Keele University,61,West Midlands,England,Female,58,Local,7689,9122,84.3,0.27,,,
Keele University,61,West Midlands,England,Male,42,International,1433,9122,15.7,0.27,,,
University of Lincoln,62,East of England,England,Female,56,Local,12616,13925,90.6,0.3,,,
University of Lincoln,62,East of England,England,Male,44,International,1309,13925,9.4,0.3,,,
Nottingham Trent University,63,East Midlands,England,Female,58,Local,21611,27218,79.4,0.27,,,
Nottingham Trent University,63,East Midlands,England,Male,42,International,5607,27218,20.6,0.27,,,
University of Portsmouth,64,South East England,England,Female,46,Local,15702,21688,72.4,0.3,,,
University of Portsmouth,64,South East England,England,Male,54,International,5986,21688,27.6,0.3,,,
University of the West of Scotland,65,Scotland,Scotland,Female,60,Local,9863,13013,75.8,0.33,,,
University of the West of Scotland,65,Scotland,Scotland,Male,40,International,3150,13013,24.2,0.33,,,
University of Bradford,66,Yorkshire and the Humber,England,Female,57,Local,5862,8246,71.1,0.21,,,
University of Bradford,66,Yorkshire and the Humber,England,Male,43,International,2384,8246,28.9,0.21,,,
University of Brighton,67,South East England,England,Female,60,Local,12440,16094,77.3,0.3,,,
University of Brighton,67,South East England,England,Male,40,International,3654,16094,22.7,0.3,,,
Coventry University,68,West Midlands,England,Female,48,Local,16615,30827,53.9,0.27,,,
Coventry University,68,West Midlands,England,Male,52,International,14212,30827,46.1,0.27,,,
De Montfort University,69,East Midlands,England,Female,54,Local,14490,21889,66.2,0.27,,,
De Montfort University,69,East Midlands,England,Male,46,International,7399,21889,33.8,0.27,,,
University of Derby,70,East Midlands,England,Female,59,Local,12550,14941,84.0,0.27,,,
University of Derby,70,East Midlands,England,Male,41,International,2391,14941,16.0,0.27,,,
Glasgow Caledonian University,71,Scotland,Scotland,Female,57,Local,11063,13509,81.9,0.33,,,
Glasgow Caledonian University,71,Scotland,Scotland,Male,43,International,2446,13509,18.1,0.33,,,
University of Greenwich,72,London,England,Female,59,Local,8247,14196,58.1,0.44,,,
University of Greenwich,72,London,England,Male,41,International,5949,14196,41.9,0.44,,,
University of Hertfordshire,73,East of England,England,Female,56,Local,12261,17771,69.0,0.3,,,
University of Hertfordshire,73,East of England,England,Male,44,International,5510,17771,31.0,0.3,,,
University of Huddersfield,74,Yorkshire and the Humber,England,Female,57,Local,10589,14349,73.8,0.21,,,
University of Huddersfield,74,Yorkshire and the Humber,England,Male,43,International,3760,14349,26.2,0.21,,,
University of Hull,75,Yorkshire and the Humber,England,Female,55,Local,10804,13438,80.4,0.21,,,
University of Hull,75,Yorkshire and the Humber,England,Male,45,International,2634,13438,19.6,0.21,,,
Manchester Metropolitan University,76,North West England,England,Female,59,Local,23386,28520,82.0,0.26,,,
Manchester Metropolitan University,76,North West England,England,Male,41,International,5134,28520,18.0,0.26,,,
Oxford Brookes University,77,South East England,England,Female,60,Local,9798,13117,74.7,0.3,,,
Oxford Brookes University,77,South East England,England,Male,40,International,3319,13117,25.3,0.3,,,
University of Ulster,78,Northern Ireland,Northern Ireland,Female,57,Local,15987,17416,91.8,0.23,,,
University of Ulster,78,Northern Ireland,Northern Ireland,Male,43,International,1429,17416,8.2,0.23,,,
University of Bedfordshire,79,East of England,England,Female,61,Local,5348,10426,51.3,0.3,,,
University of Bedfordshire,79,East of England,England,Male,39,International,5078,10426,48.7,0.3,,,
University of Central Lancashire,80,North West England,England,Female,59,Local,13974,17644,79.2,0.26,,,
University of Central Lancashire,80,North West England,England,Male,41,International,3670,17644,20.8,0.26,,,
University of East London,81,London,England,Female,62,Local,6795,10769,63.1,0.44,,,
University of East London,81,London,England,Male,38,International,3974,10769,36.9,0.44,,,
Edge Hill University,82,North East England,England,Female,69,Local,10481,11151,94.0,0.23,,,
Edge Hill University,82,North East England,England,Male,31,International,670,11151,6.0,0.23,,,
Kingston University,83,London,England,Female,59,Local,8637,14277,60.5,0.44,,,
Kingston University,83,London,England,Male,41,International,5640,14277,39.5,0.44,,,
Leeds Beckett University,84,Yorkshire and the Humber,England,Female,54,Local,16271,18639,87.3,0.21,,,
Leeds Beckett University,84,Yorkshire and the Humber,England,Male,46,International,2368,18639,12.7,0.21,,,
London South Bank University,85,London,England,Female,57,Local,8124,12144,66.9,0.44,,,
London South Bank University,85,London,England,Male,43,International,4020,12144,33.1,0.44,,,
University of Roehampton,86,London,England,Female,70,Local,5252,7668,68.5,0.44,,,
University of Roehampton,86,London,England,Male,30,International,2416,7668,31.5,0.44,,,
University of Salford,87,North West England,England,Female,54,Local,14132,17448,81.0,0.26,,,
University of Salford,87,North West England,England,Male,46,International,3316,17448,19.0,0.26,,,
Sheffield Hallam University,88,Yorkshire and the Humber,England,Female,55,Local,22496,25535,88.1,0.21,,,
Sheffield Hallam University,88,Yorkshire and the Humber,England,Male,45,International,3039,25535,11.9,0.21,,,
University of Westminster,89,London,England,Female,60,Local,8072,16145,50.0,0.44,,,
University of Westminster,89,London,England,Male,40,International,8073,16145,50.0,0.44,,,
Canterbury Christ Church University,90,South East England,England,Female,69,Local,9423,10920,86.3,0.3,,,
Canterbury Christ Church University,90,South East England,England,Male,31,International,1497,10920,13.7,0.3,,,
Cardiff Metropolitan University,91,Wales,Wales,Female,56,Local,7216,9021,80.0,0.22,,,
Cardiff Metropolitan University,91,Wales,Wales,Male,44,International,1805,9021,20.0,0.22,,,
Robert Gordon University,92,Scotland,Scotland,Female,61,Local,6772,8899,76.1,0.33,,,
Robert Gordon University,92,Scotland,Scotland,Male,39,International,2127,8899,23.9,0.33,,,
University of South Wales,93,Wales,Wales,Female,54,Local,12431,15310,81.2,0.22,,,
University of South Wales,93,Wales,Wales,Male,46,International,2879,15310,18.8,0.22,,,
Staffordshire University,94,West Midlands,England,Female,48,Local,8024,9119,88.0,0.27,,,
Staffordshire University,94,West Midlands,England,Male,52,International,1095,9119,12.0,0.27,,,
Teesside University,95,North East England,England,Female,57,Local,10824,12780,84.7,0.23,,,
Teesside University,95,North East England,England,Male,43,International,1956,12780,15.3,0.23,,,
University of Wolverhampton,96,West Midlands,England,Female,63,Local,11245,14527,77.4,0.27,,,
University of Wolverhampton,96,West Midlands,England,Male,37,International,3282,14527,22.6,0.27,,,
University of Chester,97,North West England,England,Female,68,Local,9322,10740,86.8,0.26,,,
University of Chester,97,North West England,England,Male,32,International,1418,10740,13.2,0.26,,,
Abertay University,98,Scotland,Scotland,Female,48,Local,3092,3915,79.0,0.33,,,
Abertay University,98,Scotland,Scotland,Male,52,International,823,3915,21.0,0.33,,,
Arts University Bournemouth,99,South West England,England,Female,69,Local,2582,3253,79.4,0.19,,,
Arts University Bournemouth,99,South West England,England,Male,31,International,671,3253,20.6,0.19,,,
University for the Creative Arts,100,South East England,England,Female,69,Local,5274,5973,88.3,0.3,,,
University for the Creative Arts,100,South East England,England,Male,31,International,699,5973,11.7,0.3,,,
Bath Spa University,101,South West England,England,Female,69,Local,5898,6734,87.6,0.19,,,
Bath Spa University,101,South West England,England,Male,31,International,836,6734,12.4,0.19,,,
Bishop Grosseteste University,102,East of England,England,Female,80,Local,1912,1992,96.0,0.3,,,
Bishop Grosseteste University,102,East of England,England,Male,20,International,80,1992,4.0,0.3,,,
University of Bolton,103,North West England,England,Female,58,Local,3458,4899,70.6,0.26,,,
University of Bolton,103,North West England,England,Male,42,International,1441,4899,29.4,0.26,,,
University of Buckingham,104,South East England,England,Female,53,Local,1657,2531,65.5,0.3,,,
University of Buckingham,104,South East England,England,Male,47,International,874,2531,34.5,0.3,,,
Buckinghamshire New University,105,South East England,England,Female,61,Local,3656,5078,72.0,0.3,,,
Buckinghamshire New University,105,South East England,England,Male,39,International,1422,5078,28.0,0.3,,,
University of Chichester,106,South East England,England,Female,63,Local,4035,4311,93.6,0.3,,,
University of Chichester,106,South East England,England,Male,37,International,276,4311,6.4,0.3,,,
University of Cumbria,107,North West England,England,Female,69,Local,4841,5350,90.5,0.26,,,
University of Cumbria,107,North West England,England,Male,31,International,509,5350,9.5,0.26,,,
Falmouth University,108,South West England,England,Female,59,Local,4336,5144,84.3,0.19,,,
Falmouth University,108,South West England,England,Male,41,International,808,5144,15.7,0.19,,,
University of Gloucestershire,109,South West England,England,Female,59,Local,6209,6953,89.3,0.19,,,
University of Gloucestershire,109,South West England,England,Male,41,International,744,6953,10.7,0.19,,,
Harper Adams University,110,Wales,Wales,Female,58,Local,2017,2219,90.9,0.22,,,
Harper Adams University,110,Wales,Wales,Male,42,International,202,2219,9.1,0.22,,,
Leeds Arts University,111,Yorkshire and the Humber,England,Female,77,Local,1546,1771,87.3,0.21,,,
Leeds Arts University,111,Yorkshire and the Humber,England,Male,23,International,225,1771,12.7,0.21,,,
Leeds Trinity University,112,Yorkshire and the Humber,England,Female,65,Local,2841,3055,93.0,0.21,,,
Leeds Trinity University,112,Yorkshire and the Humber,England,Male,35,International,214,3055,7.0,0.21,,,
Liverpool Hope University,113,North West England,England,Female,70,Local,3791,4358,87.0,0.26,,,
Liverpool Hope University,113,North West England,England,Male,30,International,567,4358,13.0,0.26,,,
London Metropolitan University,114,London,England,Female,65,Local,4351,7542,57.7,0.44,,,
London Metropolitan University,114,London,England,Male,35,International,3191,7542,42.3,0.44,,,
Newman University,115,West Midlands,England,Female,77,Local,2067,2449,84.4,0.27,,,
Newman University,115,West Midlands,England,Male,23,International,382,2449,15.6,0.27,,,
University of Northampton,116,East Midlands,England,Female,65,Local,6771,9618,70.4,0.27,,,
University of Northampton,116,East Midlands,England,Male,35,International,2847,9618,29.6,0.27,,,
Norwich University of the Arts,117,East of England,England,Female,62,Local,1918,2228,86.1,0.3,,,
Norwich University of the Arts,117,East of England,England,Male,38,International,310,2228,13.9,0.3,,,
Queen Margaret University,118,Scotland,Scotland,Female,76,Local,2633,3884,67.8,0.33,,,
Queen Margaret University,118,Scotland,Scotland,Male,24,International,1251,3884,32.2,0.33,,,
Plymouth Marjon University,119,South West England,England,Female,63,Local,1771,1836,96.5,0.19,,,
Plymouth Marjon University,119,South West England,England,Male,37,International,65,1836,3.5,0.19,,,
Ravensbourne University London,120,London,England,Female,48,Local,1750,2417,72.4,0.44,,,
Ravensbourne University London,120,London,England,Male,52,International,667,2417,27.6,0.44,,,
Royal Agricultural University,121,South West England,England,Female,49,Local,930,1072,86.8,0.19,,,
Royal Agricultural University,121,South West England,England,Male,51,International,142,1072,13.2,0.19,,,
Solent University,122,South East England,England,Female,45,Local,6511,8835,73.7,0.3,,,
Solent University,122,South East England,England,Male,55,International,2324,8835,26.3,0.3,,,
"St Mary's University, Twickenham",123,London,England,Female,73,Local,3844,4700,81.8,0.44,,,
"St Mary's University, Twickenham",123,London,England,Male,27,International,856,4700,18.2,0.44,,,
University of Suffolk,124,East of England,England,Female,71,Local,2763,3195,86.5,0.3,,,
University of Suffolk,124,East of England,England,Male,29,International,432,3195,13.5,0.3,,,
University of Sunderland,125,North East England,England,Female,59,Local,7123,10810,65.9,0.23,,,
University of Sunderland,125,North East England,England,Male,41,International,3687,10810,34.1,0.23,,,
University of Wales Trinity Saint David,126,Wales,Wales,Female,57,Local,6795,8051,84.4,0.22,,,
University of Wales Trinity Saint David,126,Wales,Wales,Male,43,International,1256,8051,15.6,0.22,,,
University of West London,127,London,England,Female,61,Local,7246,8752,82.8,0.44,,,
University of West London,127,London,England,Male,39,International,1506,8752,17.2,0.44,,,
University of Winchester,128,South East England,England,Female,67,Local,6266,7009,89.4,0.3,,,
University of Winchester,128,South East England,England,Male,33,International,743,7009,10.6,0.3,,,
University of Worcester,129,West Midlands,England,Female,67,Local,6638,7596,87.4,0.27,,,
University of Worcester,129,West Midlands,England,Male,33,International,958,7596,12.6,0.27,,,
Wrexham Glyndwr University,130,Wales,Wales,Female,60,Local,2661,3168,84.0,0.22,,,
Wrexham Glyndwr University,130,Wales,Wales,Male,40,International,507,3168,16.0,0.22,,,
York St John University,131,Yorkshire and the Humber,England,Female,66,Local,5504,6029,91.3,0.21,,,
York St John University,131,Yorkshire and the Humber,England,Male,34,International,525,6029,8.7,0.21,,,
